,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
42,1006,left entorhinal,outer,2580.6645511938614,1586.17961630641,0.809273825975655,1.70232582092285,1.67876989688432,76.8019184652278,134.764988009592,115.624940047962,13.6373243331909,18.4851245880127,23.2151699066162,66.0,85.0,123.0,159.0,108.0,148.0,2097510.0,76.8019184652278,134.764988009592,115.624940047962
43,1007,left fusiform,outer,8097.221819621219,5301.24358080392,0.973461445443807,4.36965417861938,1.60226909296735,64.5828492815653,100.737236319168,118.738459186793,14.3917675018311,20.1450347900391,62.8870468139648,52.0,78.0,71.0,134.0,105.0,130.0,6587794.0,64.5828492815653,100.737236319168,118.738459186793
44,1008,left inferior parietal,outer,11208.872026672234,7768.16665471345,0.891873166633759,2.21099233627319,1.97187380243668,56.852804770318,73.9169611307421,156.29913869258,19.026065826416,34.1612396240234,42.0664863586426,42.0,75.0,55.0,93.0,134.0,179.0,9128448.0,56.852804770318,73.9169611307421,156.29913869258
45,1009,left inferior temporal,outer,13821.717526705923,7300.24043687051,0.982335444463237,5.34392166137695,1.25872786953094,53.7917972597833,119.55135667592,114.910450434315,15.3669509887695,26.837703704834,82.1197814941406,38.0,79.0,80.0,155.0,102.0,133.0,11267503.0,53.7917972597833,119.55135667592,114.910450434315
46,1010,left isthmus cingulate,outer,1740.2466949537502,1509.36951373703,0.96748208501792,3.95351362228394,2.8265110878355,89.5028449502134,89.6849217638691,149.690611664296,11.2649564743042,13.6095361709595,44.5361595153809,74.0,96.0,82.0,100.0,131.0,166.0,1420060.0,89.5028449502134,89.6849217638691,149.690611664296
47,1011,left lateral occipital,outer,10247.156747882003,7083.11992033916,0.961742391722234,3.65022873878479,2.44134646024871,66.5913757700205,63.2402464065708,128.215122599348,15.2939748764038,33.4151000976562,55.8265075683594,46.0,90.0,45.0,86.0,112.0,156.0,8370069.0,66.5913757700205,63.2402464065708,128.215122599348
48,1012,left lateral orbitofrontal,outer,7784.076432833666,5303.44004935201,0.975198236959392,4.51807451248169,1.38951338980856,79.5517570360948,166.799332167276,138.021466051837,13.5074405670166,25.9338302612305,61.0276222229004,62.0,93.0,140.0,195.0,125.0,157.0,6364468.0,79.5517570360948,166.799332167276,138.021466051837
49,1013,left lingual,outer,6859.493018089391,4860.54614834198,0.954405435210742,3.34993314743042,1.94816430230379,82.4301696138578,78.8738722482858,127.826416456153,13.6837844848633,25.1264762878418,45.8397636413574,67.0,95.0,57.0,102.0,115.0,139.0,5614046.0,82.4301696138578,78.8738722482858,127.826416456153
50,1014,left medial orbitofrontal,outer,4052.324096215205,3253.40017474458,0.988500334548244,6.61293983459473,1.51042569099788,93.1548564447159,166.394929749542,137.087049480757,9.34482288360596,20.6547260284424,61.7967529296875,84.0,98.0,138.0,191.0,126.0,159.0,3319836.0,93.1548564447159,166.394929749542,137.087049480757
51,1015,left middle temporal,outer,12461.453573822444,7783.03196821817,0.981104406046149,5.16851806640625,1.40950810087338,46.8001589193484,124.379817242749,126.28873659118,18.3203125,24.3552341461182,94.6888656616211,36.0,67.0,78.0,160.0,105.0,145.0,10219020.0,46.8001589193484,124.379817242749,126.28873659118
